GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US130890231111,130890231111,"Block Group 1, Census Tract 231.11, DeKalb County, Georgia",47625,11765
1500000US130890231121,130890231121,"Block Group 1, Census Tract 231.12, DeKalb County, Georgia",21129,4680
1500000US130890231122,130890231122,"Block Group 2, Census Tract 231.12, DeKalb County, Georgia",28125,4163
1500000US130890231123,130890231123,"Block Group 3, Census Tract 231.12, DeKalb County, Georgia",28657,8013
1500000US130890231131,130890231131,"Block Group 1, Census Tract 231.13, DeKalb County, Georgia",30676,7789
1500000US130890231132,130890231132,"Block Group 2, Census Tract 231.13, DeKalb County, Georgia",25260,7816
1500000US130890231141,130890231141,"Block Group 1, Census Tract 231.14, DeKalb County, Georgia",64500,12312
1500000US130890231142,130890231142,"Block Group 2, Census Tract 231.14, DeKalb County, Georgia",46250,7197
1500000US130890231151,130890231151,"Block Group 1, Census Tract 231.15, DeKalb County, Georgia",-,**
1500000US130890232041,130890232041,"Block Group 1, Census Tract 232.04, DeKalb County, Georgia",33478,14469
1500000US130890232042,130890232042,"Block Group 2, Census Tract 232.04, DeKalb County, Georgia",58047,27205
1500000US130890232043,130890232043,"Block Group 3, Census Tract 232.04, DeKalb County, Georgia",41531,5534
1500000US130890232061,130890232061,"Block Group 1, Census Tract 232.06, DeKalb County, Georgia",38375,7675
1500000US130890232062,130890232062,"Block Group 2, Census Tract 232.06, DeKalb County, Georgia",56830,7233
1500000US130890232063,130890232063,"Block Group 3, Census Tract 232.06, DeKalb County, Georgia",37250,18625
1500000US130890232081,130890232081,"Block Group 1, Census Tract 232.08, DeKalb County, Georgia",53417,7279
1500000US130890232082,130890232082,"Block Group 2, Census Tract 232.08, DeKalb County, Georgia",38716,13176
1500000US130890232083,130890232083,"Block Group 3, Census Tract 232.08, DeKalb County, Georgia",32738,6181
1500000US130890232091,130890232091,"Block Group 1, Census Tract 232.09, DeKalb County, Georgia",44942,12228
1500000US130890232092,130890232092,"Block Group 2, Census Tract 232.09, DeKalb County, Georgia",65625,10882
1500000US130890232093,130890232093,"Block Group 3, Census Tract 232.09, DeKalb County, Georgia",66429,14396
1500000US130890232101,130890232101,"Block Group 1, Census Tract 232.10, DeKalb County, Georgia",56042,28436
1500000US130890232102,130890232102,"Block Group 2, Census Tract 232.10, DeKalb County, Georgia",60128,38187
1500000US130890232103,130890232103,"Block Group 3, Census Tract 232.10, DeKalb County, Georgia",55405,17233
1500000US130890232104,130890232104,"Block Group 4, Census Tract 232.10, DeKalb County, Georgia",38375,15800
1500000US130890232105,130890232105,"Block Group 5, Census Tract 232.10, DeKalb County, Georgia",29817,10575
1500000US130890232111,130890232111,"Block Group 1, Census Tract 232.11, DeKalb County, Georgia",60086,16248
1500000US130890232112,130890232112,"Block Group 2, Census Tract 232.11, DeKalb County, Georgia",45333,10324
