GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,,,,,,,,,,,,,,,,,,
Id,Id2,Geography,Estimate, Total:,Margin of Error, Total:,Estimate, Total: - White alone,Margin of Error, Total: - White alone,Estimate, Total: - Black or African American alone,Margin of Error, Total: - Black or African American alone,Estimate, Total: - American Indian and Alaska Native alone,Margin of Error, Total: - American Indian and Alaska Native alone,Estimate, Total: - Asian alone,Margin of Error, Total: - Asian alone,Estimate, Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error, Total: - Native Hawaiian and Other Pacific Islander alone,Estimate, Total: - Some other race alone,Margin of Error, Total: - Some other race alone,Estimate, Total: - Two or more races:,Margin of Error, Total: - Two or more races:,Estimate, Total: - Two or more races: - Two races including Some other race,Margin of Error, Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US130890212181,130890212181,"Block Group 1, Census Tract 212.18, DeKalb County, Georgia",1266,339,480,182,572,286,0,13,132,127,0,13,0,13,82,120,0,13,82,120,,,,,,,,,,,,,,,,,,
1500000US130890212182,130890212182,"Block Group 2, Census Tract 212.18, DeKalb County, Georgia",2239,510,968,259,982,400,0,13,210,157,0,13,28,32,51,84,0,13,51,84,,,,,,,,,,,,,,,,,,
1500000US130890212183,130890212183,"Block Group 3, Census Tract 212.18, DeKalb County, Georgia",1319,364,921,248,184,164,0,13,214,234,0,13,0,13,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890213011,130890213011,"Block Group 1, Census Tract 213.01, DeKalb County, Georgia",1107,405,713,329,129,119,79,102,31,38,0,13,155,243,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890213012,130890213012,"Block Group 2, Census Tract 213.01, DeKalb County, Georgia",2898,489,1135,334,1185,394,64,92,336,183,0,13,0,13,178,206,38,49,140,195,,,,,,,,,,,,,,,,,,
1500000US130890213031,130890213031,"Block Group 1, Census Tract 213.03, DeKalb County, Georgia",3051,457,1929,474,202,132,24,35,495,181,0,13,290,171,111,133,23,33,88,127,,,,,,,,,,,,,,,,,,
1500000US130890213032,130890213032,"Block Group 2, Census Tract 213.03, DeKalb County, Georgia",1314,309,461,190,340,187,0,13,380,210,0,13,68,78,65,65,0,13,65,65,,,,,,,,,,,,,,,,,,
1500000US130890213033,130890213033,"Block Group 3, Census Tract 213.03, DeKalb County, Georgia",2131,432,1382,448,175,122,0,13,108,104,0,13,461,284,5,10,5,10,0,13,,,,,,,,,,,,,,,,,,
1500000US130890213051,130890213051,"Block Group 1, Census Tract 213.05, DeKalb County, Georgia",928,298,572,185,56,51,0,13,105,122,0,13,158,192,37,45,0,13,37,45,,,,,,,,,,,,,,,,,,
1500000US130890213052,130890213052,"Block Group 2, Census Tract 213.05, DeKalb County, Georgia",4256,548,2469,478,703,308,142,201,369,280,16,35,351,308,206,177,84,130,122,105,,,,,,,,,,,,,,,,,,
1500000US130890213061,130890213061,"Block Group 1, Census Tract 213.06, DeKalb County, Georgia",2570,579,1764,481,263,142,0,13,278,235,0,13,236,200,29,37,0,13,29,37,,,,,,,,,,,,,,,,,,
1500000US130890213062,130890213062,"Block Group 2, Census Tract 213.06, DeKalb County, Georgia",667,222,429,190,132,106,0,13,89,73,0,13,0,13,17,31,0,13,17,31,,,,,,,,,,,,,,,,,,
1500000US130890213063,130890213063,"Block Group 3, Census Tract 213.06, DeKalb County, Georgia",1885,389,899,372,389,175,80,106,201,167,44,72,272,209,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890213071,130890213071,"Block Group 1, Census Tract 213.07, DeKalb County, Georgia",1430,429,1084,402,40,65,0,13,197,155,0,13,87,99,22,21,0,13,22,21,,,,,,,,,,,,,,,,,,
1500000US130890213072,130890213072,"Block Group 2, Census Tract 213.07, DeKalb County, Georgia",2946,418,1530,372,412,228,7,14,831,314,0,13,119,109,47,41,0,13,47,41,,,,,,,,,,,,,,,,,,
1500000US130890213081,130890213081,"Block Group 1, Census Tract 213.08, DeKalb County, Georgia",1648,456,1134,417,94,62,0,13,268,183,0,13,120,138,32,24,0,13,32,24,,,,,,,,,,,,,,,,,,
1500000US130890213082,130890213082,"Block Group 2, Census Tract 213.08, DeKalb County, Georgia",525,202,253,91,107,138,0,13,165,166,0,13,0,13,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890213083,130890213083,"Block Group 3, Census Tract 213.08, DeKalb County, Georgia",1926,498,1098,444,159,118,146,218,117,143,0,13,378,279,28,45,28,45,0,13,,,,,,,,,,,,,,,,,,
1500000US130890214051,130890214051,"Block Group 1, Census Tract 214.05, DeKalb County, Georgia",1042,200,956,184,11,16,0,13,42,45,0,13,0,13,33,37,0,13,33,37,,,,,,,,,,,,,,,,,,
1500000US130890214052,130890214052,"Block Group 2, Census Tract 214.05, DeKalb County, Georgia",1850,462,1424,416,163,136,16,23,192,166,0,13,0,13,55,55,0,13,55,55,,,,,,,,,,,,,,,,,,
1500000US130890214053,130890214053,"Block Group 3, Census Tract 214.05, DeKalb County, Georgia",1367,298,1236,309,40,38,0,13,45,57,0,13,46,72,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890214091,130890214091,"Block Group 1, Census Tract 214.09, DeKalb County, Georgia",2735,408,1028,344,1286,268,0,13,170,140,0,13,194,218,57,57,0,13,57,57,,,,,,,,,,,,,,,,,,
1500000US130890214092,130890214092,"Block Group 2, Census Tract 214.09, DeKalb County, Georgia",975,501,721,461,9,13,0,13,22,33,0,13,223,307,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890214101,130890214101,"Block Group 1, Census Tract 214.10, DeKalb County, Georgia",1964,501,1762,517,24,33,0,13,0,13,0,13,178,174,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890214102,130890214102,"Block Group 2, Census Tract 214.10, DeKalb County, Georgia",1757,501,1145,452,43,39,31,36,0,13,0,13,457,306,81,112,0,13,81,112,,,,,,,,,,,,,,,,,,
1500000US130890214103,130890214103,"Block Group 3, Census Tract 214.10, DeKalb County, Georgia",1651,295,1293,303,272,130,8,14,46,36,0,13,8,14,24,35,0,13,24,35,,,,,,,,,,,,,,,,,,
1500000US130890214111,130890214111,"Block Group 1, Census Tract 214.11, DeKalb County, Georgia",1832,225,1516,230,64,71,0,13,159,107,0,13,37,42,56,57,0,13,56,57,,,,,,,,,,,,,,,,,,
1500000US130890214112,130890214112,"Block Group 2, Census Tract 214.11, DeKalb County, Georgia",1718,219,1358,197,228,184,0,13,69,61,0,13,63,78,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890214121,130890214121,"Block Group 1, Census Tract 214.12, DeKalb County, Georgia",1167,237,1115,232,0,13,0,13,0,13,0,13,40,64,12,18,0,13,12,18,,,,,,,,,,,,,,,,,,
1500000US130890214122,130890214122,"Block Group 2, Census Tract 214.12, DeKalb County, Georgia",1480,294,1058,252,176,116,0,13,66,64,0,13,160,202,20,22,0,13,20,22,,,,,,,,,,,,,,,,,,
1500000US130890214123,130890214123,"Block Group 3, Census Tract 214.12, DeKalb County, Georgia",1227,246,1098,251,32,51,0,13,76,86,0,13,0,13,21,25,0,13,21,25,,,,,,,,,,,,,,,,,,
1500000US130890214131,130890214131,"Block Group 1, Census Tract 214.13, DeKalb County, Georgia",3030,545,1430,418,191,125,170,208,53,54,0,13,1122,467,64,72,0,13,64,72,,,,,,,,,,,,,,,,,,
1500000US130890214132,130890214132,"Block Group 2, Census Tract 214.13, DeKalb County, Georgia",1451,408,762,385,58,48,0,13,0,13,0,13,631,350,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890214141,130890214141,"Block Group 1, Census Tract 214.14, DeKalb County, Georgia",3022,382,1433,374,693,218,0,13,72,63,0,13,668,391,156,174,122,171,34,39,,,,,,,,,,,,,,,,,,
1500000US130890214142,130890214142,"Block Group 2, Census Tract 214.14, DeKalb County, Georgia",947,220,312,119,352,120,0,13,89,66,0,13,172,187,22,21,0,13,22,21,,,,,,,,,,,,,,,,,,
1500000US130890214151,130890214151,"Block Group 1, Census Tract 214.15, DeKalb County, Georgia",1103,214,946,205,77,70,27,41,22,16,0,13,0,13,31,39,25,38,6,9,,,,,,,,,,,,,,,,,,
1500000US130890214152,130890214152,"Block Group 2, Census Tract 214.15, DeKalb County, Georgia",1229,203,941,190,67,51,0,13,174,138,0,13,0,13,47,44,14,21,33,33,,,,,,,,,,,,,,,,,,
1500000US130890214153,130890214153,"Block Group 3, Census Tract 214.15, DeKalb County, Georgia",1846,408,1171,413,229,188,0,13,66,58,0,13,342,280,38,45,0,13,38,45,,,,,,,,,,,,,,,,,,
1500000US130890214161,130890214161,"Block Group 1, Census Tract 214.16, DeKalb County, Georgia",1978,401,1298,339,201,148,57,85,163,157,0,13,259,301,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890214162,130890214162,"Block Group 2, Census Tract 214.16, DeKalb County, Georgia",614,165,570,164,10,17,0,13,17,27,0,13,17,29,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890214171,130890214171,"Block Group 1, Census Tract 214.17, DeKalb County, Georgia",1117,284,594,215,248,146,0,13,198,167,0,13,0,13,77,74,0,13,77,74,,,,,,,,,,,,,,,,,,
1500000US130890214172,130890214172,"Block Group 2, Census Tract 214.17, DeKalb County, Georgia",1231,486,417,285,168,121,212,315,80,84,0,13,317,314,37,56,0,13,37,56,,,,,,,,,,,,,,,,,,
1500000US130890214173,130890214173,"Block Group 3, Census Tract 214.17, DeKalb County, Georgia",2793,597,1349,579,193,186,194,324,0,13,0,13,1057,536,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890215021,130890215021,"Block Group 1, Census Tract 215.02, DeKalb County, Georgia",1298,237,962,220,187,135,30,46,83,66,0,13,36,54,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890215022,130890215022,"Block Group 2, Census Tract 215.02, DeKalb County, Georgia",1445,483,999,314,95,95,0,13,72,91,0,13,0,13,279,387,0,13,279,387,,,,,,,,,,,,,,,,,,
1500000US130890215023,130890215023,"Block Group 3, Census Tract 215.02, DeKalb County, Georgia",1839,341,1386,311,401,199,0,13,36,40,0,13,0,13,16,26,0,13,16,26,,,,,,,,,,,,,,,,,,
1500000US130890215031,130890215031,"Block Group 1, Census Tract 215.03, DeKalb County, Georgia",1478,324,1008,207,156,103,0,13,304,256,0,13,0,13,10,13,0,13,10,13,,,,,,,,,,,,,,,,,,
1500000US130890215032,130890215032,"Block Group 2, Census Tract 215.03, DeKalb County, Georgia",1023,277,891,266,101,97,0,13,16,18,0,13,0,13,15,24,0,13,15,24,,,,,,,,,,,,,,,,,,
1500000US130890215033,130890215033,"Block Group 3, Census Tract 215.03, DeKalb County, Georgia",1741,482,578,354,222,144,147,188,390,269,0,13,210,187,194,235,13,19,181,237,,,,,,,,,,,,,,,,,,
1500000US130890215041,130890215041,"Block Group 1, Census Tract 215.04, DeKalb County, Georgia",1619,384,1308,402,39,46,0,13,272,168,0,13,0,13,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890215042,130890215042,"Block Group 2, Census Tract 215.04, DeKalb County, Georgia",2104,360,1499,260,335,221,0,13,237,138,0,13,22,27,11,18,0,13,11,18,,,,,,,,,,,,,,,,,,
