Id,Id2,Geography,Median
1500000US130890217032,130890217032,"Block Group 2, Census Tract 217.03, DeKalb County, Georgia",153482
1500000US130890217041,130890217041,"Block Group 1, Census Tract 217.04, DeKalb County, Georgia",53476
1500000US130890217042,130890217042,"Block Group 2, Census Tract 217.04, DeKalb County, Georgia",86023
1500000US130890217043,130890217043,"Block Group 3, Census Tract 217.04, DeKalb County, Georgia",133403
1500000US130890217051,130890217051,"Block Group 1, Census Tract 217.05, DeKalb County, Georgia",32258
1500000US130890217052,130890217052,"Block Group 2, Census Tract 217.05, DeKalb County, Georgia",38625
1500000US130890217053,130890217053,"Block Group 3, Census Tract 217.05, DeKalb County, Georgia",40486
1500000US130890217061,130890217061,"Block Group 1, Census Tract 217.06, DeKalb County, Georgia",109063
1500000US130890217062,130890217062,"Block Group 2, Census Tract 217.06, DeKalb County, Georgia",45000
1500000US130890217063,130890217063,"Block Group 3, Census Tract 217.06, DeKalb County, Georgia",130125
1500000US130890217064,130890217064,"Block Group 4, Census Tract 217.06, DeKalb County, Georgia",82321
1500000US130890218051,130890218051,"Block Group 1, Census Tract 218.05, DeKalb County, Georgia",75212
1500000US130890218052,130890218052,"Block Group 2, Census Tract 218.05, DeKalb County, Georgia",50547
1500000US130890218053,130890218053,"Block Group 3, Census Tract 218.05, DeKalb County, Georgia",36667
1500000US130890218061,130890218061,"Block Group 1, Census Tract 218.06, DeKalb County, Georgia",38279
1500000US130890218062,130890218062,"Block Group 2, Census Tract 218.06, DeKalb County, Georgia",73813
1500000US130890218063,130890218063,"Block Group 3, Census Tract 218.06, DeKalb County, Georgia",30712
1500000US130890218081,130890218081,"Block Group 1, Census Tract 218.08, DeKalb County, Georgia",82917
1500000US130890218082,130890218082,"Block Group 2, Census Tract 218.08, DeKalb County, Georgia",52955
1500000US130890218091,130890218091,"Block Group 1, Census Tract 218.09, DeKalb County, Georgia",55000
1500000US130890218092,130890218092,"Block Group 2, Census Tract 218.09, DeKalb County, Georgia",65859
1500000US130890218093,130890218093,"Block Group 3, Census Tract 218.09, DeKalb County, Georgia",113825
1500000US130890218094,130890218094,"Block Group 4, Census Tract 218.09, DeKalb County, Georgia",94904
1500000US130890218095,130890218095,"Block Group 5, Census Tract 218.09, DeKalb County, Georgia",136250
1500000US130890218101,130890218101,"Block Group 1, Census Tract 218.10, DeKalb County, Georgia",55052
1500000US130890218102,130890218102,"Block Group 2, Census Tract 218.10, DeKalb County, Georgia",89815
1500000US130890218103,130890218103,"Block Group 3, Census Tract 218.10, DeKalb County, Georgia",95063
1500000US130890218121,130890218121,"Block Group 1, Census Tract 218.12, DeKalb County, Georgia",61597
1500000US130890218122,130890218122,"Block Group 2, Census Tract 218.12, DeKalb County, Georgia",66250
1500000US130890218131,130890218131,"Block Group 1, Census Tract 218.13, DeKalb County, Georgia",33418
1500000US130890218141,130890218141,"Block Group 1, Census Tract 218.14, DeKalb County, Georgia",35826
1500000US130890218142,130890218142,"Block Group 2, Census Tract 218.14, DeKalb County, Georgia",58977
1500000US130890218143,130890218143,"Block Group 3, Census Tract 218.14, DeKalb County, Georgia",30189
1500000US130890218144,130890218144,"Block Group 4, Census Tract 218.14, DeKalb County, Georgia",21164
1500000US130890219061,130890219061,"Block Group 1, Census Tract 219.06, DeKalb County, Georgia",55357
1500000US130890219062,130890219062,"Block Group 2, Census Tract 219.06, DeKalb County, Georgia",30128
1500000US130890219063,130890219063,"Block Group 3, Census Tract 219.06, DeKalb County, Georgia",39968
1500000US130890219071,130890219071,"Block Group 1, Census Tract 219.07, DeKalb County, Georgia",78810
1500000US130890219072,130890219072,"Block Group 2, Census Tract 219.07, DeKalb County, Georgia",52286
1500000US130890219073,130890219073,"Block Group 3, Census Tract 219.07, DeKalb County, Georgia",29323
1500000US130890219081,130890219081,"Block Group 1, Census Tract 219.08, DeKalb County, Georgia",36719
1500000US130890219082,130890219082,"Block Group 2, Census Tract 219.08, DeKalb County, Georgia",31144
1500000US130890219091,130890219091,"Block Group 1, Census Tract 219.09, DeKalb County, Georgia",35511
1500000US130890219093,130890219093,"Block Group 3, Census Tract 219.09, DeKalb County, Georgia",32687
1500000US130890219094,130890219094,"Block Group 4, Census Tract 219.09, DeKalb County, Georgia",35517
1500000US130890219101,130890219101,"Block Group 1, Census Tract 219.10, DeKalb County, Georgia",38448
1500000US130890219102,130890219102,"Block Group 2, Census Tract 219.10, DeKalb County, Georgia",72292
1500000US130890219103,130890219103,"Block Group 3, Census Tract 219.10, DeKalb County, Georgia",40179
1500000US130890219111,130890219111,"Block Group 1, Census Tract 219.11, DeKalb County, Georgia",21909
1500000US130890219112,130890219112,"Block Group 2, Census Tract 219.11, DeKalb County, Georgia",20720
1500000US130890219121,130890219121,"Block Group 1, Census Tract 219.12, DeKalb County, Georgia",81071
1500000US130890219122,130890219122,"Block Group 2, Census Tract 219.12, DeKalb County, Georgia",111250
1500000US130890219123,130890219123,"Block Group 3, Census Tract 219.12, DeKalb County, Georgia",123750
1500000US130890219131,130890219131,"Block Group 1, Census Tract 219.13, DeKalb County, Georgia",27353
1500000US130890219132,130890219132,"Block Group 2, Census Tract 219.13, DeKalb County, Georgia",34098
1500000US130890219133,130890219133,"Block Group 3, Census Tract 219.13, DeKalb County, Georgia",25747
1500000US130890220011,130890220011,"Block Group 1, Census Tract 220.01, DeKalb County, Georgia",65905
1500000US130890220012,130890220012,"Block Group 2, Census Tract 220.01, DeKalb County, Georgia",66406
1500000US130890220041,130890220041,"Block Group 1, Census Tract 220.04, DeKalb County, Georgia",47639
1500000US130890220042,130890220042,"Block Group 2, Census Tract 220.04, DeKalb County, Georgia",48333
1500000US130890220043,130890220043,"Block Group 3, Census Tract 220.04, DeKalb County, Georgia",55559
1500000US130890220051,130890220051,"Block Group 1, Census Tract 220.05, DeKalb County, Georgia",41573
1500000US130890220052,130890220052,"Block Group 2, Census Tract 220.05, DeKalb County, Georgia",29750
1500000US130890220053,130890220053,"Block Group 3, Census Tract 220.05, DeKalb County, Georgia",31176
1500000US130890220071,130890220071,"Block Group 1, Census Tract 220.07, DeKalb County, Georgia",32372
1500000US130890220072,130890220072,"Block Group 2, Census Tract 220.07, DeKalb County, Georgia",26117
1500000US130890220081,130890220081,"Block Group 1, Census Tract 220.08, DeKalb County, Georgia",53150
1500000US130890220082,130890220082,"Block Group 2, Census Tract 220.08, DeKalb County, Georgia",28485
1500000US130890220083,130890220083,"Block Group 3, Census Tract 220.08, DeKalb County, Georgia",19270
1500000US130890220084,130890220084,"Block Group 4, Census Tract 220.08, DeKalb County, Georgia",30852
1500000US130890220091,130890220091,"Block Group 1, Census Tract 220.09, DeKalb County, Georgia",38622
1500000US130890220092,130890220092,"Block Group 2, Census Tract 220.09, DeKalb County, Georgia",36156
