Id,Id2,Geography,Estimate,White,Black,Other
1500000US130890218103,130890218103,"Block Group 3, Census Tract 218.10, DeKalb County, Georgia",1639,1365,78,196
1500000US130890218121,130890218121,"Block Group 1, Census Tract 218.12, DeKalb County, Georgia",983,692,209,82
1500000US130890218122,130890218122,"Block Group 2, Census Tract 218.12, DeKalb County, Georgia",1291,897,68,326
1500000US130890218131,130890218131,"Block Group 1, Census Tract 218.13, DeKalb County, Georgia",2859,1191,1605,63
1500000US130890218141,130890218141,"Block Group 1, Census Tract 218.14, DeKalb County, Georgia",1045,486,431,128
1500000US130890218142,130890218142,"Block Group 2, Census Tract 218.14, DeKalb County, Georgia",1397,1182,132,83
1500000US130890218143,130890218143,"Block Group 3, Census Tract 218.14, DeKalb County, Georgia",1339,394,475,470
1500000US130890218144,130890218144,"Block Group 4, Census Tract 218.14, DeKalb County, Georgia",1870,747,825,298
1500000US130890219061,130890219061,"Block Group 1, Census Tract 219.06, DeKalb County, Georgia",1659,372,1026,261
1500000US130890219062,130890219062,"Block Group 2, Census Tract 219.06, DeKalb County, Georgia",758,150,550,58
1500000US130890219063,130890219063,"Block Group 3, Census Tract 219.06, DeKalb County, Georgia",2824,520,2107,197
1500000US130890219071,130890219071,"Block Group 1, Census Tract 219.07, DeKalb County, Georgia",4875,904,3386,585
1500000US130890219072,130890219072,"Block Group 2, Census Tract 219.07, DeKalb County, Georgia",2217,478,1707,32
1500000US130890219073,130890219073,"Block Group 3, Census Tract 219.07, DeKalb County, Georgia",1883,616,1208,59
1500000US130890219081,130890219081,"Block Group 1, Census Tract 219.08, DeKalb County, Georgia",1943,591,1338,14
1500000US130890219082,130890219082,"Block Group 2, Census Tract 219.08, DeKalb County, Georgia",4193,376,3452,365
1500000US130890219091,130890219091,"Block Group 1, Census Tract 219.09, DeKalb County, Georgia",2234,277,1905,52
1500000US130890219092,130890219092,"Block Group 2, Census Tract 219.09, DeKalb County, Georgia",1609,365,1223,21
1500000US130890219093,130890219093,"Block Group 3, Census Tract 219.09, DeKalb County, Georgia",1013,17,996,0
1500000US130890219094,130890219094,"Block Group 4, Census Tract 219.09, DeKalb County, Georgia",1755,366,1319,70
1500000US130890219101,130890219101,"Block Group 1, Census Tract 219.10, DeKalb County, Georgia",1341,11,1248,82
1500000US130890219102,130890219102,"Block Group 2, Census Tract 219.10, DeKalb County, Georgia",1796,571,1204,21
1500000US130890219103,130890219103,"Block Group 3, Census Tract 219.10, DeKalb County, Georgia",1683,293,1122,268
1500000US130890219111,130890219111,"Block Group 1, Census Tract 219.11, DeKalb County, Georgia",816,0,816,0
1500000US130890219112,130890219112,"Block Group 2, Census Tract 219.11, DeKalb County, Georgia",1373,28,1345,0
1500000US130890219121,130890219121,"Block Group 1, Census Tract 219.12, DeKalb County, Georgia",1451,691,644,116
1500000US130890219122,130890219122,"Block Group 2, Census Tract 219.12, DeKalb County, Georgia",1364,974,299,91
1500000US130890219123,130890219123,"Block Group 3, Census Tract 219.12, DeKalb County, Georgia",644,470,139,35
1500000US130890219131,130890219131,"Block Group 1, Census Tract 219.13, DeKalb County, Georgia",2554,122,2432,0
1500000US130890219132,130890219132,"Block Group 2, Census Tract 219.13, DeKalb County, Georgia",848,91,688,69
1500000US130890219133,130890219133,"Block Group 3, Census Tract 219.13, DeKalb County, Georgia",1243,478,765,0
1500000US130890220011,130890220011,"Block Group 1, Census Tract 220.01, DeKalb County, Georgia",2018,1076,710,232
1500000US130890220012,130890220012,"Block Group 2, Census Tract 220.01, DeKalb County, Georgia",2321,1991,212,118
1500000US130890220041,130890220041,"Block Group 1, Census Tract 220.04, DeKalb County, Georgia",2668,414,1883,371
1500000US130890220042,130890220042,"Block Group 2, Census Tract 220.04, DeKalb County, Georgia",1381,192,874,315
1500000US130890220043,130890220043,"Block Group 3, Census Tract 220.04, DeKalb County, Georgia",1977,176,1608,193
1500000US130890220051,130890220051,"Block Group 1, Census Tract 220.05, DeKalb County, Georgia",1727,312,665,750
1500000US130890220052,130890220052,"Block Group 2, Census Tract 220.05, DeKalb County, Georgia",1128,220,643,265
1500000US130890220053,130890220053,"Block Group 3, Census Tract 220.05, DeKalb County, Georgia",1736,110,1602,24
1500000US130890220071,130890220071,"Block Group 1, Census Tract 220.07, DeKalb County, Georgia",2254,208,1081,965
1500000US130890220072,130890220072,"Block Group 2, Census Tract 220.07, DeKalb County, Georgia",1850,247,1180,423
1500000US130890220081,130890220081,"Block Group 1, Census Tract 220.08, DeKalb County, Georgia",1057,464,200,393
1500000US130890220082,130890220082,"Block Group 2, Census Tract 220.08, DeKalb County, Georgia",2580,210,481,1889
1500000US130890220083,130890220083,"Block Group 3, Census Tract 220.08, DeKalb County, Georgia",3693,272,2378,1043
1500000US130890220084,130890220084,"Block Group 4, Census Tract 220.08, DeKalb County, Georgia",1037,0,263,774
1500000US130890220091,130890220091,"Block Group 1, Census Tract 220.09, DeKalb County, Georgia",1844,249,1335,260
1500000US130890220092,130890220092,"Block Group 2, Census Tract 220.09, DeKalb County, Georgia",1905,251,1591,63
1500000US130890220093,130890220093,"Block Group 3, Census Tract 220.09, DeKalb County, Georgia",1341,36,1237,68
1500000US130890220101,130890220101,"Block Group 1, Census Tract 220.10, DeKalb County, Georgia",2669,644,793,1232
1500000US130890221001,130890221001,"Block Group 1, Census Tract 221, DeKalb County, Georgia",2090,316,1469,305
1500000US130890221002,130890221002,"Block Group 2, Census Tract 221, DeKalb County, Georgia",1511,332,1061,118
1500000US130890222031,130890222031,"Block Group 1, Census Tract 222.03, DeKalb County, Georgia",2090,983,592,515
1500000US130890222041,130890222041,"Block Group 1, Census Tract 222.04, DeKalb County, Georgia",3732,2070,863,799
1500000US130890222042,130890222042,"Block Group 2, Census Tract 222.04, DeKalb County, Georgia",765,381,120,264
1500000US130890222043,130890222043,"Block Group 3, Census Tract 222.04, DeKalb County, Georgia",1628,271,266,1091
1500000US130890222044,130890222044,"Block Group 4, Census Tract 222.04, DeKalb County, Georgia",898,371,215,312
1500000US130890223011,130890223011,"Block Group 1, Census Tract 223.01, DeKalb County, Georgia",1306,1181,86,39
1500000US130890223012,130890223012,"Block Group 2, Census Tract 223.01, DeKalb County, Georgia",498,361,112,25
1500000US130890223013,130890223013,"Block Group 3, Census Tract 223.01, DeKalb County, Georgia",909,875,0,34
1500000US130890223014,130890223014,"Block Group 4, Census Tract 223.01, DeKalb County, Georgia",1376,1256,14,106
1500000US130890223015,130890223015,"Block Group 5, Census Tract 223.01, DeKalb County, Georgia",1801,973,111,717
1500000US130890223021,130890223021,"Block Group 1, Census Tract 223.02, DeKalb County, Georgia",1572,1381,105,86
1500000US130890223022,130890223022,"Block Group 2, Census Tract 223.02, DeKalb County, Georgia",1274,734,46,494
1500000US130890223023,130890223023,"Block Group 3, Census Tract 223.02, DeKalb County, Georgia",1728,1345,234,149
1500000US130890224011,130890224011,"Block Group 1, Census Tract 224.01, DeKalb County, Georgia",1862,1558,183,121
1500000US130890224012,130890224012,"Block Group 2, Census Tract 224.01, DeKalb County, Georgia",1109,883,139,87
1500000US130890224013,130890224013,"Block Group 3, Census Tract 224.01, DeKalb County, Georgia",973,964,0,9
1500000US130890224021,130890224021,"Block Group 1, Census Tract 224.02, DeKalb County, Georgia",2394,983,295,1116
1500000US130890224022,130890224022,"Block Group 2, Census Tract 224.02, DeKalb County, Georgia",3326,1750,529,1047
1500000US130890224031,130890224031,"Block Group 1, Census Tract 224.03, DeKalb County, Georgia",1304,1248,17,39
1500000US130890224032,130890224032,"Block Group 2, Census Tract 224.03, DeKalb County, Georgia",1619,1538,0,81
1500000US130890224033,130890224033,"Block Group 3, Census Tract 224.03, DeKalb County, Georgia",1065,953,36,76
1500000US130890225001,130890225001,"Block Group 1, Census Tract 225, DeKalb County, Georgia",1992,449,1517,26
1500000US130890225002,130890225002,"Block Group 2, Census Tract 225, DeKalb County, Georgia",1052,1024,0,28
1500000US130890225003,130890225003,"Block Group 3, Census Tract 225, DeKalb County, Georgia",1425,1266,106,53
1500000US130890225004,130890225004,"Block Group 4, Census Tract 225, DeKalb County, Georgia",1784,1377,86,321
1500000US130890226001,130890226001,"Block Group 1, Census Tract 226, DeKalb County, Georgia",1756,1439,210,107
1500000US130890226002,130890226002,"Block Group 2, Census Tract 226, DeKalb County, Georgia",1985,1507,355,123
1500000US130890226003,130890226003,"Block Group 3, Census Tract 226, DeKalb County, Georgia",1883,1500,223,160
1500000US130890227001,130890227001,"Block Group 1, Census Tract 227, DeKalb County, Georgia",1963,1242,601,120
1500000US130890227002,130890227002,"Block Group 2, Census Tract 227, DeKalb County, Georgia",972,753,146,73
1500000US130890227003,130890227003,"Block Group 3, Census Tract 227, DeKalb County, Georgia",1511,1193,229,89
1500000US130890228001,130890228001,"Block Group 1, Census Tract 228, DeKalb County, Georgia",1111,637,250,224
1500000US130890228002,130890228002,"Block Group 2, Census Tract 228, DeKalb County, Georgia",1689,873,623,193
1500000US130890228003,130890228003,"Block Group 3, Census Tract 228, DeKalb County, Georgia",1041,856,98,87
1500000US130890229001,130890229001,"Block Group 1, Census Tract 229, DeKalb County, Georgia",1547,1168,241,138
1500000US130890229002,130890229002,"Block Group 2, Census Tract 229, DeKalb County, Georgia",151,73,68,10
1500000US130890229003,130890229003,"Block Group 3, Census Tract 229, DeKalb County, Georgia",1980,1134,691,155
1500000US130890230001,130890230001,"Block Group 1, Census Tract 230, DeKalb County, Georgia",2096,1706,233,157
1500000US130890231011,130890231011,"Block Group 1, Census Tract 231.01, DeKalb County, Georgia",647,107,540,0
1500000US130890231012,130890231012,"Block Group 2, Census Tract 231.01, DeKalb County, Georgia",1664,509,992,163
1500000US130890231013,130890231013,"Block Group 3, Census Tract 231.01, DeKalb County, Georgia",833,186,638,9
1500000US130890231014,130890231014,"Block Group 4, Census Tract 231.01, DeKalb County, Georgia",1455,126,1251,78
1500000US130890231021,130890231021,"Block Group 1, Census Tract 231.02, DeKalb County, Georgia",1449,867,534,48
1500000US130890231022,130890231022,"Block Group 2, Census Tract 231.02, DeKalb County, Georgia",1781,204,1497,80
1500000US130890231071,130890231071,"Block Group 1, Census Tract 231.07, DeKalb County, Georgia",1788,520,1073,195
1500000US130890231072,130890231072,"Block Group 2, Census Tract 231.07, DeKalb County, Georgia",1320,193,1127,0
1500000US130890231073,130890231073,"Block Group 3, Census Tract 231.07, DeKalb County, Georgia",1401,216,1076,109
1500000US130890231081,130890231081,"Block Group 1, Census Tract 231.08, DeKalb County, Georgia",1648,88,1527,33
1500000US130890231082,130890231082,"Block Group 2, Census Tract 231.08, DeKalb County, Georgia",1238,54,1169,15
1500000US130890231083,130890231083,"Block Group 3, Census Tract 231.08, DeKalb County, Georgia",1854,138,1653,63
1500000US130890231111,130890231111,"Block Group 1, Census Tract 231.11, DeKalb County, Georgia",2054,163,1797,94
1500000US130890231121,130890231121,"Block Group 1, Census Tract 231.12, DeKalb County, Georgia",1390,55,1281,54
1500000US130890231122,130890231122,"Block Group 2, Census Tract 231.12, DeKalb County, Georgia",2334,141,1949,244
1500000US130890231123,130890231123,"Block Group 3, Census Tract 231.12, DeKalb County, Georgia",541,94,440,7
1500000US130890231131,130890231131,"Block Group 1, Census Tract 231.13, DeKalb County, Georgia",2059,523,1395,141
1500000US130890231132,130890231132,"Block Group 2, Census Tract 231.13, DeKalb County, Georgia",1338,494,795,49
1500000US130890231141,130890231141,"Block Group 1, Census Tract 231.14, DeKalb County, Georgia",1094,121,829,144
1500000US130890231142,130890231142,"Block Group 2, Census Tract 231.14, DeKalb County, Georgia",1346,286,947,113
1500000US130890231151,130890231151,"Block Group 1, Census Tract 231.15, DeKalb County, Georgia",3083,228,2625,230
1500000US130890232041,130890232041,"Block Group 1, Census Tract 232.04, DeKalb County, Georgia",2661,166,2280,215
1500000US130890232042,130890232042,"Block Group 2, Census Tract 232.04, DeKalb County, Georgia",2575,174,2332,69
1500000US130890232043,130890232043,"Block Group 3, Census Tract 232.04, DeKalb County, Georgia",1934,630,1226,78
1500000US130890232061,130890232061,"Block Group 1, Census Tract 232.06, DeKalb County, Georgia",2967,295,2500,172
